Sexo;Comunidades y ciudades autónomas de destino;Comunidades y ciudades autónomas de origen;Periodo;Total
Ambos sexos;Total Nacional;Total Nacional;2021;367.848
Ambos sexos;Total Nacional;01 Andalucía;2021;44.027
Ambos sexos;Total Nacional;02 Aragón;2021;11.780
Ambos sexos;Total Nacional;03 Asturias, Principado de;2021;6.988
Ambos sexos;Total Nacional;04 Balears, Illes;2021;15.509
Ambos sexos;Total Nacional;05 Canarias;2021;16.406
Ambos sexos;Total Nacional;06 Cantabria;2021;5.585
Ambos sexos;Total Nacional;07 Castilla y León;2021;23.575
Ambos sexos;Total Nacional;08 Castilla - La Mancha;2021;30.604
Ambos sexos;Total Nacional;09 Cataluña;2021;39.998
Ambos sexos;Total Nacional;10 Comunitat Valenciana;2021;29.756
Ambos sexos;Total Nacional;11 Extremadura;2021;9.515
Ambos sexos;Total Nacional;12 Galicia;2021;12.310
Ambos sexos;Total Nacional;13 Madrid, Comunidad de;2021;78.600
Ambos sexos;Total Nacional;14 Murcia, Región de;2021;12.239
Ambos sexos;Total Nacional;15 Navarra, Comunidad Foral de;2021;5.684
Ambos sexos;Total Nacional;16 País Vasco;2021;15.365
Ambos sexos;Total Nacional;17 Rioja, La;2021;3.593
Ambos sexos;Total Nacional;18 Ceuta;2021;3.022
Ambos sexos;Total Nacional;19 Melilla;2021;3.292
Ambos sexos;01 Andalucía;Total Nacional;2021;49.246
Ambos sexos;01 Andalucía;01 Andalucía;2021;""
Ambos sexos;01 Andalucía;02 Aragón;2021;1.250
Ambos sexos;01 Andalucía;03 Asturias, Principado de;2021;546
Ambos sexos;01 Andalucía;04 Balears, Illes;2021;3.743
Ambos sexos;01 Andalucía;05 Canarias;2021;3.489
Ambos sexos;01 Andalucía;06 Cantabria;2021;386
Ambos sexos;01 Andalucía;07 Castilla y León;2021;1.837
Ambos sexos;01 Andalucía;08 Castilla - La Mancha;2021;3.190
Ambos sexos;01 Andalucía;09 Cataluña;2021;8.148
Ambos sexos;01 Andalucía;10 Comunitat Valenciana;2021;3.796
Ambos sexos;01 Andalucía;11 Extremadura;2021;2.137
Ambos sexos;01 Andalucía;12 Galicia;2021;1.347
Ambos sexos;01 Andalucía;13 Madrid, Comunidad de;2021;11.921
Ambos sexos;01 Andalucía;14 Murcia, Región de;2021;2.326
Ambos sexos;01 Andalucía;15 Navarra, Comunidad Foral de;2021;546
Ambos sexos;01 Andalucía;16 País Vasco;2021;1.278
Ambos sexos;01 Andalucía;17 Rioja, La;2021;255
Ambos sexos;01 Andalucía;18 Ceuta;2021;1.626
Ambos sexos;01 Andalucía;19 Melilla;2021;1.425
Ambos sexos;02 Aragón;Total Nacional;2021;12.578
Ambos sexos;02 Aragón;01 Andalucía;2021;1.328
Ambos sexos;02 Aragón;02 Aragón;2021;""
Ambos sexos;02 Aragón;03 Asturias, Principado de;2021;129
Ambos sexos;02 Aragón;04 Balears, Illes;2021;293
Ambos sexos;02 Aragón;05 Canarias;2021;460
Ambos sexos;02 Aragón;06 Cantabria;2021;110
Ambos sexos;02 Aragón;07 Castilla y León;2021;774
Ambos sexos;02 Aragón;08 Castilla - La Mancha;2021;556
Ambos sexos;02 Aragón;09 Cataluña;2021;3.409
Ambos sexos;02 Aragón;10 Comunitat Valenciana;2021;1.627
Ambos sexos;02 Aragón;11 Extremadura;2021;195
Ambos sexos;02 Aragón;12 Galicia;2021;273
Ambos sexos;02 Aragón;13 Madrid, Comunidad de;2021;1.595
Ambos sexos;02 Aragón;14 Murcia, Región de;2021;285
Ambos sexos;02 Aragón;15 Navarra, Comunidad Foral de;2021;617
Ambos sexos;02 Aragón;16 País Vasco;2021;470
Ambos sexos;02 Aragón;17 Rioja, La;2021;297
Ambos sexos;02 Aragón;18 Ceuta;2021;80
Ambos sexos;02 Aragón;19 Melilla;2021;80
Ambos sexos;03 Asturias, Principado de;Total Nacional;2021;7.614
Ambos sexos;03 Asturias, Principado de;01 Andalucía;2021;535
Ambos sexos;03 Asturias, Principado de;02 Aragón;2021;140
Ambos sexos;03 Asturias, Principado de;03 Asturias, Principado de;2021;""
Ambos sexos;03 Asturias, Principado de;04 Balears, Illes;2021;251
Ambos sexos;03 Asturias, Principado de;05 Canarias;2021;426
Ambos sexos;03 Asturias, Principado de;06 Cantabria;2021;406
Ambos sexos;03 Asturias, Principado de;07 Castilla y León;2021;1.185
Ambos sexos;03 Asturias, Principado de;08 Castilla - La Mancha;2021;285
Ambos sexos;03 Asturias, Principado de;09 Cataluña;2021;729
Ambos sexos;03 Asturias, Principado de;10 Comunitat Valenciana;2021;405
Ambos sexos;03 Asturias, Principado de;11 Extremadura;2021;109
Ambos sexos;03 Asturias, Principado de;12 Galicia;2021;678
Ambos sexos;03 Asturias, Principado de;13 Madrid, Comunidad de;2021;1.813
Ambos sexos;03 Asturias, Principado de;14 Murcia, Región de;2021;119
Ambos sexos;03 Asturias, Principado de;15 Navarra, Comunidad Foral de;2021;100
Ambos sexos;03 Asturias, Principado de;16 País Vasco;2021;338
Ambos sexos;03 Asturias, Principado de;17 Rioja, La;2021;68
Ambos sexos;03 Asturias, Principado de;18 Ceuta;2021;14
Ambos sexos;03 Asturias, Principado de;19 Melilla;2021;13
Ambos sexos;04 Balears, Illes;Total Nacional;2021;13.318
Ambos sexos;04 Balears, Illes;01 Andalucía;2021;2.699
Ambos sexos;04 Balears, Illes;02 Aragón;2021;234
Ambos sexos;04 Balears, Illes;03 Asturias, Principado de;2021;268
Ambos sexos;04 Balears, Illes;04 Balears, Illes;2021;""
Ambos sexos;04 Balears, Illes;05 Canarias;2021;644
Ambos sexos;04 Balears, Illes;06 Cantabria;2021;89
Ambos sexos;04 Balears, Illes;07 Castilla y León;2021;440
Ambos sexos;04 Balears, Illes;08 Castilla - La Mancha;2021;462
Ambos sexos;04 Balears, Illes;09 Cataluña;2021;3.126
Ambos sexos;04 Balears, Illes;10 Comunitat Valenciana;2021;1.698
Ambos sexos;04 Balears, Illes;11 Extremadura;2021;264
Ambos sexos;04 Balears, Illes;12 Galicia;2021;489
Ambos sexos;04 Balears, Illes;13 Madrid, Comunidad de;2021;1.979
Ambos sexos;04 Balears, Illes;14 Murcia, Región de;2021;393
Ambos sexos;04 Balears, Illes;15 Navarra, Comunidad Foral de;2021;79
Ambos sexos;04 Balears, Illes;16 País Vasco;2021;306
Ambos sexos;04 Balears, Illes;17 Rioja, La;2021;36
Ambos sexos;04 Balears, Illes;18 Ceuta;2021;46
Ambos sexos;04 Balears, Illes;19 Melilla;2021;66
Ambos sexos;05 Canarias;Total Nacional;2021;16.105
Ambos sexos;05 Canarias;01 Andalucía;2021;3.214
Ambos sexos;05 Canarias;02 Aragón;2021;480
Ambos sexos;05 Canarias;03 Asturias, Principado de;2021;424
Ambos sexos;05 Canarias;04 Balears, Illes;2021;583
Ambos sexos;05 Canarias;05 Canarias;2021;""
Ambos sexos;05 Canarias;06 Cantabria;2021;237
Ambos sexos;05 Canarias;07 Castilla y León;2021;889
Ambos sexos;05 Canarias;08 Castilla - La Mancha;2021;643
Ambos sexos;05 Canarias;09 Cataluña;2021;2.026
Ambos sexos;05 Canarias;10 Comunitat Valenciana;2021;1.044
Ambos sexos;05 Canarias;11 Extremadura;2021;379
Ambos sexos;05 Canarias;12 Galicia;2021;1.217
Ambos sexos;05 Canarias;13 Madrid, Comunidad de;2021;3.515
Ambos sexos;05 Canarias;14 Murcia, Región de;2021;482
Ambos sexos;05 Canarias;15 Navarra, Comunidad Foral de;2021;146
Ambos sexos;05 Canarias;16 País Vasco;2021;525
Ambos sexos;05 Canarias;17 Rioja, La;2021;94
Ambos sexos;05 Canarias;18 Ceuta;2021;81
Ambos sexos;05 Canarias;19 Melilla;2021;126
Ambos sexos;06 Cantabria;Total Nacional;2021;7.362
Ambos sexos;06 Cantabria;01 Andalucía;2021;369
Ambos sexos;06 Cantabria;02 Aragón;2021;180
Ambos sexos;06 Cantabria;03 Asturias, Principado de;2021;363
Ambos sexos;06 Cantabria;04 Balears, Illes;2021;165
Ambos sexos;06 Cantabria;05 Canarias;2021;253
Ambos sexos;06 Cantabria;06 Cantabria;2021;""
Ambos sexos;06 Cantabria;07 Castilla y León;2021;1.049
Ambos sexos;06 Cantabria;08 Castilla - La Mancha;2021;212
Ambos sexos;06 Cantabria;09 Cataluña;2021;470
Ambos sexos;06 Cantabria;10 Comunitat Valenciana;2021;254
Ambos sexos;06 Cantabria;11 Extremadura;2021;69
Ambos sexos;06 Cantabria;12 Galicia;2021;214
Ambos sexos;06 Cantabria;13 Madrid, Comunidad de;2021;1.472
