Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;;;Extranjera;Todas las edades;Total;1 de enero de 2014;5.023.487
Total Nacional;;;Europa (sin España);Todas las edades;Total;1 de enero de 2014;2.299.165
Total Nacional;;;Alemania;Todas las edades;Total;1 de enero de 2014;140.511
Total Nacional;;;Austria;Todas las edades;Total;1 de enero de 2014;8.863
Total Nacional;;;Bélgica;Todas las edades;Total;1 de enero de 2014;30.284
Total Nacional;;;Bulgaria;Todas las edades;Total;1 de enero de 2014;151.579
Total Nacional;;;Chipre;Todas las edades;Total;1 de enero de 2014;217
Total Nacional;;;Croacia;Todas las edades;Total;1 de enero de 2014;1.845
Total Nacional;;;Dinamarca;Todas las edades;Total;1 de enero de 2014;10.736
Total Nacional;;;Eslovenia;Todas las edades;Total;1 de enero de 2014;1.347
Total Nacional;;;Estonia;Todas las edades;Total;1 de enero de 2014;2.028
Total Nacional;;;Finlandia;Todas las edades;Total;1 de enero de 2014;11.649
Total Nacional;;;Francia;Todas las edades;Total;1 de enero de 2014;103.552
Total Nacional;;;Grecia;Todas las edades;Total;1 de enero de 2014;4.217
Total Nacional;;;Hungría;Todas las edades;Total;1 de enero de 2014;9.528
Total Nacional;;;Irlanda;Todas las edades;Total;1 de enero de 2014;15.858
Total Nacional;;;Italia;Todas las edades;Total;1 de enero de 2014;180.999
Total Nacional;;;Letonia;Todas las edades;Total;1 de enero de 2014;4.555
Total Nacional;;;Lituania;Todas las edades;Total;1 de enero de 2014;18.832
Total Nacional;;;Luxemburgo;Todas las edades;Total;1 de enero de 2014;552
Total Nacional;;;Malta;Todas las edades;Total;1 de enero de 2014;244
Total Nacional;;;Países Bajos;Todas las edades;Total;1 de enero de 2014;47.269
Total Nacional;;;Polonia;Todas las edades;Total;1 de enero de 2014;69.471
Total Nacional;;;Portugal;Todas las edades;Total;1 de enero de 2014;109.708
Total Nacional;;;República Checa;Todas las edades;Total;1 de enero de 2014;8.277
Total Nacional;;;República Eslovaca;Todas las edades;Total;1 de enero de 2014;7.228
Total Nacional;;;Rumanía;Todas las edades;Total;1 de enero de 2014;797.054
Total Nacional;;;Suecia;Todas las edades;Total;1 de enero de 2014;20.214
Total Nacional;;;Albania;Todas las edades;Total;1 de enero de 2014;1.917
Total Nacional;;;Andorra;Todas las edades;Total;1 de enero de 2014;1.066
Total Nacional;;;Armenia;Todas las edades;Total;1 de enero de 2014;11.866
Total Nacional;;;Belarús;Todas las edades;Total;1 de enero de 2014;4.101
Total Nacional;;;Bosnia y Herzegovina;Todas las edades;Total;1 de enero de 2014;1.288
