Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Relacion entre lugar de nacimiento y residencia;Edad (grupos quinquenales);Sexo;Periodo;Total
Total Nacional;16 País Vasco;01 Araba/Álava;En España;Todas las edades;Total;1 de enero de 2022;289.324
Total Nacional;16 País Vasco;01 Araba/Álava;En España;Todas las edades;Total;1 de enero de 2018;291.487
Total Nacional;16 País Vasco;01 Araba/Álava;En España;Todas las edades;Total;1 de enero de 2014;288.481
Total Nacional;16 País Vasco;01 Araba/Álava;En España;Todas las edades;Total;1 de enero de 2010;285.108
Total Nacional;16 País Vasco;01 Araba/Álava;En España;Todas las edades;Total;1 de enero de 2006;282.209
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2022;182.224
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2018;180.975
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2014;176.610
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2010;171.678
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Misma Provincia.;Todas las edades;Total;1 de enero de 2006;166.656
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2022;34.449
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2018;34.285
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2014;34.080
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2010;33.701
Total Nacional;16 País Vasco;01 Araba/Álava;Misma Comunidad Autónoma. Distinta Provincia;Todas las edades;Total;1 de enero de 2006;33.233
Total Nacional;16 País Vasco;01 Araba/Álava;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2022;72.651
Total Nacional;16 País Vasco;01 Araba/Álava;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2018;76.227
Total Nacional;16 País Vasco;01 Araba/Álava;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2014;77.791
Total Nacional;16 País Vasco;01 Araba/Álava;En distinta Comunidad Autónoma;Todas las edades;Total;1 de enero de 2010;79.729
