Total Nacional;Comunidades y Ciudades Autónomas;Provincias;País de nacionalidad;Edad (hasta 100 y más);Sexo;Periodo;Total
Total Nacional;;;Extranjera;Todas las edades;Total;1 de enero de 2019;5.036.878
Total Nacional;;;Europa (sin España);Todas las edades;Total;1 de enero de 2019;2.117.840
Total Nacional;;;Alemania;Todas las edades;Total;1 de enero de 2019;111.911
Total Nacional;;;Austria;Todas las edades;Total;1 de enero de 2019;7.183
Total Nacional;;;Bélgica;Todas las edades;Total;1 de enero de 2019;32.893
Total Nacional;;;Bulgaria;Todas las edades;Total;1 de enero de 2019;122.813
Total Nacional;;;Chipre;Todas las edades;Total;1 de enero de 2019;363
Total Nacional;;;Croacia;Todas las edades;Total;1 de enero de 2019;2.637
Total Nacional;;;Dinamarca;Todas las edades;Total;1 de enero de 2019;9.399
Total Nacional;;;Eslovenia;Todas las edades;Total;1 de enero de 2019;1.569
Total Nacional;;;Estonia;Todas las edades;Total;1 de enero de 2019;2.699
Total Nacional;;;Finlandia;Todas las edades;Total;1 de enero de 2019;11.195
Total Nacional;;;Francia;Todas las edades;Total;1 de enero de 2019;103.517
Total Nacional;;;Grecia;Todas las edades;Total;1 de enero de 2019;4.701
Total Nacional;;;Hungría;Todas las edades;Total;1 de enero de 2019;9.913
Total Nacional;;;Irlanda;Todas las edades;Total;1 de enero de 2019;15.178
Total Nacional;;;Italia;Todas las edades;Total;1 de enero de 2019;228.283
Total Nacional;;;Letonia;Todas las edades;Total;1 de enero de 2019;4.715
Total Nacional;;;Lituania;Todas las edades;Total;1 de enero de 2019;15.925
Total Nacional;;;Luxemburgo;Todas las edades;Total;1 de enero de 2019;557
Total Nacional;;;Malta;Todas las edades;Total;1 de enero de 2019;259
Total Nacional;;;Países Bajos;Todas las edades;Total;1 de enero de 2019;45.931
Total Nacional;;;Polonia;Todas las edades;Total;1 de enero de 2019;53.003
Total Nacional;;;Portugal;Todas las edades;Total;1 de enero de 2019;93.440
Total Nacional;;;República Checa;Todas las edades;Total;1 de enero de 2019;7.021
Total Nacional;;;República Eslovaca;Todas las edades;Total;1 de enero de 2019;5.924
Total Nacional;;;Rumanía;Todas las edades;Total;1 de enero de 2019;671.985
Total Nacional;;;Suecia;Todas las edades;Total;1 de enero de 2019;19.134
Total Nacional;;;Albania;Todas las edades;Total;1 de enero de 2019;3.010
Total Nacional;;;Andorra;Todas las edades;Total;1 de enero de 2019;1.038
Total Nacional;;;Armenia;Todas las edades;Total;1 de enero de 2019;13.013
Total Nacional;;;Belarús;Todas las edades;Total;1 de enero de 2019;5.460
Total Nacional;;;Bosnia y Herzegovina;Todas las edades;Total;1 de enero de 2019;1.209
Total Nacional;;;Georgia;Todas las edades;Total;1 de enero de 2019;17.704
Total Nacional;;;Islandia;Todas las edades;Total;1 de enero de 2019;1.255
Total Nacional;;;Liechtenstein;Todas las edades;Total;1 de enero de 2019;33
Total Nacional;;;Macedonia del Norte;Todas las edades;Total;1 de enero de 2019;686
Total Nacional;;;Moldavia;Todas las edades;Total;1 de enero de 2019;18.387
Total Nacional;;;Noruega;Todas las edades;Total;1 de enero de 2019;12.313
Total Nacional;;;Reino Unido;Todas las edades;Total;1 de enero de 2019;250.392
Total Nacional;;;Rusia;Todas las edades;Total;1 de enero de 2019;77.715
Total Nacional;;;Serbia;Todas las edades;Total;1 de enero de 2019;3.607
Total Nacional;;;Serbia y Montenegro;Todas las edades;Total;1 de enero de 2019;""
