iter	Passed	Remaining
0	11	1162
1	26	1302
2	40	1317
3	54	1316
4	69	1324
5	83	1311
6	97	1295
7	111	1278
8	124	1261
9	139	1251
10	152	1234
11	165	1214
12	178	1194
13	192	1184
14	206	1171
15	220	1155
16	233	1141
17	246	1124
18	260	1110
19	273	1094
20	285	1073
21	298	1058
22	311	1043
23	321	1018
24	335	1005
25	348	991
26	361	977
27	374	962
28	387	948
29	401	936
30	414	922
31	427	908
32	440	894
33	454	883
34	468	870
35	481	856
36	494	842
37	507	828
38	520	813
39	533	800
40	547	787
41	560	773
42	566	751
43	580	738
44	593	725
45	605	710
46	619	698
47	632	685
48	646	672
49	659	659
50	671	645
51	684	632
52	697	618
53	711	606
54	724	593
55	737	579
56	749	565
57	763	552
58	776	539
59	788	525
60	798	510
61	810	496
62	823	483
63	836	470
64	848	457
65	862	444
66	875	431
67	888	418
68	901	404
69	913	391
70	927	378
71	940	365
72	952	352
73	962	338
74	975	325
75	988	312
76	1000	298
77	1013	285
78	1027	273
79	1041	260
80	1062	249
81	1078	236
82	1092	223
83	1106	210
84	1119	197
85	1132	184
86	1146	171
87	1160	158
88	1173	145
89	1188	132
90	1202	118
91	1215	105
92	1228	92
93	1243	79
94	1253	65
95	1266	52
96	1279	39
97	1292	26
98	1305	13
99	1318	0
