iter	Logloss
0	0.6602680301
1	0.6297060232
2	0.6041682712
3	0.5829248691
4	0.5685945742
5	0.5571100809
6	0.5454805441
7	0.5350171933
8	0.5294129182
9	0.5222548853
10	0.5169239836
11	0.5118479256
12	0.5080068904
13	0.504131858
14	0.501688973
15	0.4990672879
16	0.4964642151
17	0.4944094568
18	0.4927297452
19	0.490636584
20	0.48868557
21	0.4877823257
22	0.4861511839
23	0.4851100273
24	0.4839716201
25	0.4825925001
26	0.4815302017
27	0.4803185464
28	0.4792920331
29	0.4781128037
30	0.4773309173
31	0.4765155954
32	0.4758349237
33	0.4749526768
34	0.4742323662
35	0.472795878
36	0.4722520689
37	0.471706011
38	0.4712108744
39	0.4707231636
40	0.4700273318
41	0.4696225385
42	0.469179557
43	0.4682543946
44	0.46733286
45	0.4668305179
46	0.4662406948
47	0.4658653125
48	0.4654020129
49	0.4648855066
50	0.4644450838
51	0.4638765482
52	0.4634066228
53	0.4632083678
54	0.4624387769
55	0.4621368263
56	0.4618696436
57	0.4615978212
58	0.4610813651
59	0.4605768045
60	0.4602102731
61	0.4599623556
62	0.4596794332
63	0.4591527707
64	0.4587946709
65	0.4585253577
66	0.458363484
67	0.4582197285
68	0.4579630309
69	0.4577882288
70	0.457345835
71	0.4567873255
72	0.4565064851
73	0.4561307678
74	0.4556067544
75	0.455198526
76	0.4546070834
77	0.4542050217
78	0.4540426504
79	0.4536519497
80	0.453461477
81	0.4533139575
82	0.4529847272
83	0.4526166718
84	0.4524672579
85	0.4521822132
86	0.4517228901
87	0.4515148929
88	0.4513490233
89	0.4509509689
90	0.4504548456
91	0.4501563223
92	0.4497777556
93	0.4493358061
94	0.4487758015
95	0.4483910579
96	0.447815247
97	0.4474379547
98	0.4470026949
99	0.4467446499
