iter	Passed	Remaining
0	1	186
1	4	217
2	6	214
3	8	213
4	11	209
5	12	200
6	14	191
7	16	184
8	17	181
9	19	179
10	21	177
11	23	173
12	25	171
13	27	170
14	29	169
15	31	165
16	33	163
17	35	160
18	37	158
19	39	156
20	41	155
21	43	153
22	44	149
23	46	146
24	47	143
25	49	141
26	51	139
27	53	137
28	55	135
29	56	132
30	58	129
31	59	127
32	61	125
33	63	123
34	65	120
35	66	118
36	69	117
37	71	115
38	73	114
39	74	111
40	76	109
41	77	107
42	79	105
43	81	103
44	82	101
45	84	99
46	86	97
47	88	96
48	90	93
49	91	91
50	93	89
51	95	87
52	96	85
53	98	83
54	100	81
55	102	80
56	103	78
57	105	76
58	107	74
59	108	72
60	110	70
61	112	68
62	113	66
63	115	64
64	117	63
65	119	61
66	120	59
67	122	57
68	123	55
69	125	53
70	127	52
71	128	50
72	130	48
73	132	46
74	134	44
75	136	43
76	138	41
77	139	39
78	141	37
79	143	35
80	144	33
81	146	32
82	148	30
83	150	28
84	152	26
85	153	25
86	155	23
87	157	21
88	158	19
89	160	17
90	162	16
91	164	14
92	165	12
93	167	10
94	169	8
95	170	7
96	172	5
97	174	3
98	175	1
99	177	0
